supplier_id,product_sku,lead_time_days,cost_per_unit,max_capacity_per_day,on_time_delivery_rate,quality_score,contract_type,payment_terms_days,sustainability_score,defect_rate_percent,alert_id
Supplier_A,AF-PRO-2025,7,45.0,500,0.95,8.5,Long-term,60,7.5,1.5,"VaEibWIwRk6jnd4HEZx0BA,z7JyrTjuTTyTatjkseKuGw"
Supplier_B,AF-PRO-2025,3,52.0,200,0.98,9.2,Spot-purchase,30,8.0,0.8,
Supplier_A,BLENDER-ULTRA,5,30.0,700,0.96,8.8,Long-term,60,7.8,1.2,40ahzTAoQ_OVK-LLhe5ghQ
Supplier_C,COFFEE-MAKER-PRO,10,25.0,300,0.92,7.9,Long-term,90,6.5,2.0,"Sr5xe8p4Tbq6XOGdB_ZpOg,3kE4b_fkRDqm4SPSSVrR5A,YNwhLKb8RkSm2ed2vpK31w,Ul5tABp6QGaESW_9R3AmYw"
Supplier_D,VACUUM-ROBOT,8,150.0,150,0.9,8.0,Spot-purchase,45,7.0,1.8,"7VAwSTtvQXKKUP6P3rJL4A,XBiSxrsJT3y7muF0zZiByg,5eInw-h9T5WmyMSIFpQAvg,-6BPRfiyTFWzljJRwzj1bw"
Supplier_B,TOASTER-OVEN,4,35.0,100,0.97,9.0,Long-term,30,8.2,0.9,
Supplier_A,MICROWAVE-SMART,6,90.0,400,0.94,8.7,Long-term,60,7.6,1.4,"VooL7StXTduTgg263WyDIg,rkc8Crk8SqCUBkgklFqSpQ"
Supplier_E,AIR-PURIFIER,12,70.0,80,0.88,7.5,Spot-purchase,60,6.0,2.5,"jYzHQ8apQOGFbKJMWOhIkQ,_Z_AGb6aR8erWKv4ZFO3zg,CN0qrfyfQnmTCu9OgAco4w,5YCdPh3ZS32-w7Fdds2Vwg"
Supplier_C,WATER-FILTER,7,15.0,600,0.93,8.1,Long-term,90,6.8,1.7,"QAv-6VkLTrK_s3H_lJaslw,VjYU4BNDQ6KndH6_bZvb5Q,ycjprUcTQO-VZEC6g1FOIw,POniZ80mSdCyVUVk7ivCnA"
Supplier_D,DRONE-CAMERA,10,250.0,50,0.85,7.0,Spot-purchase,45,6.2,3.0,"Oi6IoqqBR4KGpJQ4va8iAg,5HbMO7IqShqr5WWJEoiOkA,lowuXlGuSomW2SJ1JiaOSQ,kJhsmjJ1TOOJ4sARHGszfg"
Supplier_B,SMART-SPEAKER,3,40.0,250,0.99,9.5,Long-term,30,8.5,0.5,
Supplier_A,FITNESS-TRACKER,5,20.0,1000,0.97,8.9,Long-term,60,7.9,1.1,TyKWTMaSSSmcq3prDHIXug
Supplier_E,GAMING-HEADSET,9,60.0,120,0.89,7.8,Spot-purchase,60,6.3,2.2,"k9SWHe1WReqGazJLDg-ciA,ZyEETBRlSHWr7snsA0CQwg,78xhz0ikQJC-YwaQq4VWAw,CgNKVkPgSPeKYBoFWlWX7g"
Supplier_C,WIRELESS-EARBUDS,6,28.0,400,0.94,8.3,Long-term,90,6.9,1.6,"GNK12qsATqykRhSWMbERdA,6MjaCkbyQRGakXH2sl880Q,ILEG-T34TY-r5GSHk36b5Q"
