timestamp,event_id,event_type,region_id,impact_product_sku,impact_level,description,event_start_date,event_end_date,affected_population_estimate,impacted_product_categories,route_affected
2025-07-13 06:00:00,EVENT001,Weather Alert,Region A,AF-PRO-2025,high,"Heavy thunderstorms expected in Los Angeles area for next 48 hours, causing potential power outages.",2025-07-13,2025-07-15,5000000,Kitchen Appliances,None
2025-07-13 07:00:00,EVENT002,Local Festival,Region B,None,medium,"Annual Summer Food Festival begins in NYC, increasing foot traffic in local stores.",2025-07-13,2025-07-16,100000,Food Prep,None
2025-07-13 08:00:00,EVENT003,Road Closure,Region C,None,high,"Major highway closure near Chicago DC due to unexpected bridge maintenance.",2025-07-13,2025-07-17,200000,All,I-55 North
2025-07-13 09:00:00,EVENT004,Community Fair,Region A,None,low,"Local community fair opening today, increasing local spending.",2025-07-13,2025-07-14,50000,General Merchandise,None
2025-07-13 10:00:00,EVENT005,Product Recall,Region B,BLENDER-ULTRA,high,"Urgent recall issued for 'Blender Ultra' due to safety concerns.",2025-07-13,2025-07-20,1000000,Kitchen Appliances,None
2025-07-13 11:00:00,EVENT006,Sports Event,Region C,None,medium,"Major baseball game in Chicago, affecting traffic and local business hours.",2025-07-13,2025-07-13,80000,Snacks,Local Streets
2025-07-13 12:00:00,EVENT007,Power Outage,Region A,AF-PRO-2025,high,"Widespread power outages reported in parts of Los Angeles due to storms.",2025-07-13,2025-07-14,1000000,Electronics,None
2025-07-13 13:00:00,EVENT008,Local Holiday,Region B,None,low,"City-wide holiday declared in parts of New York, affecting store hours.",2025-07-13,2025-07-13,500000,All,None
2025-07-13 14:00:00,EVENT009,Supply Chain Disruption,Region C,AF-PRO-2025,medium,"Minor rail delay impacting shipments into Chicago DC.",2025-07-13,2025-07-14,None,Kitchen Appliances,Rail Line 3
2025-07-13 15:00:00,EVENT010,Concert Event,Region A,None,low,"Large outdoor concert in downtown LA, drawing crowds.",2025-07-13,2025-07-13,70000,Beverages,Local Streets
2025-07-13 16:00:00,EVENT011,Public Transit Strike,Region B,None,high,"NYC subway workers announce strike, impacting commuter patterns.",2025-07-13,2025-07-15,3000000,All,Subway Lines
2025-07-13 17:00:00,EVENT012,Warehouse Fire,DC_East,AF-PRO-2025,critical,"Small fire reported at DC_East, minimal damage but temporary operational slowdown.",2025-07-13,2025-07-14,None,Kitchen Appliances,None
2025-07-14 06:00:00,EVENT013,Weather Update,Region A,AF-PRO-2025,medium,"Thunderstorms continue in LA, but intensity decreasing.",2025-07-14,2025-07-14,5000000,Kitchen Appliances,None
2025-07-14 07:00:00,EVENT014,Road Reopened,Region C,None,low,"Highway near Chicago DC reopened ahead of schedule.",2025-07-14,2025-07-14,None,All,I-55 North
2025-07-14 08:00:00,EVENT015,School Holiday,Region A,None,low,"Local school holiday announced for Monday, increasing daytime home appliance use.",2025-07-14,2025-07-14,100000,General Merchandise,None
2025-07-14 09:00:00,EVENT016,Farmers Market,Region B,None,low,"Weekly farmers market in local park, increasing foot traffic.",2025-07-14,2025-07-14,20000,Food,None
2025-07-14 10:00:00,EVENT017,Supply Chain Resolution,Region C,AF-PRO-2025,none,"Rail delays resolved, shipments resuming normal pace.",2025-07-14,2025-07-14,None,Kitchen Appliances,Rail Line 3
2025-07-14 11:00:00,EVENT018,Local Charity Drive,Region A,None,low,"Community charity drive in LA, minor impact on shopping patterns.",2025-07-14,2025-07-14,30000,General Merchandise,None
2025-07-14 12:00:00,EVENT019,New Product Launch,Region B,COFFEE-MAKER-PRO,medium,"Competitor launches new coffee maker, potential impact on sales.",2025-07-14,2025-07-21,None,Kitchen Appliances,None
2025-07-14 13:00:00,EVENT020,Traffic Accident,Region C,None,medium,"Major traffic accident on I-55, causing local delivery delays.",2025-07-14,2025-07-14,None,All,I-55 South
2025-07-14 14:00:00,EVENT021,Weather Clear,Region A,AF-PRO-2025,none,"Weather conditions clearing in Los Angeles.",2025-07-14,2025-07-14,None,None,None
2025-07-14 15:00:00,EVENT022,Local Parade,Region B,None,low,"Annual summer parade in downtown NYC.",2025-07-14,2025-07-14,150000,General Merchandise,Local Streets
2025-07-14 16:00:00,EVENT023,Warehouse Operational,DC_East,AF-PRO-2025,none,"DC_East fully operational after minor fire incident.",2025-07-14,2025-07-14,None,None,None
2025-07-15 07:00:00,EVENT024,Early Morning Fog,Region C,None,low,"Dense fog reported in Chicago area, minor impact on early deliveries.",2025-07-15,2025-07-15,None,All,None
2025-07-15 08:00:00,EVENT025,Local Construction,Region A,None,medium,"Major road construction near Store_A2, affecting customer access.",2025-07-15,2025-07-18,50000,All,Local Roads
2025-07-15 09:00:00,EVENT026,Public School Reopening,Region B,None,low,"Public schools reopen after holiday, return to normal traffic.",2025-07-15,2025-07-15,200000,School Supplies,None
2025-07-15 10:00:00,EVENT027,Supplier Issue,Supplier_A,AF-PRO-2025,high,"Supplier_A reports temporary production slowdown for AF-PRO-2025.",2025-07-15,2025-07-17,None,Kitchen Appliances,None
2025-07-15 11:00:00,EVENT028,Retail Conference,Region C,None,low,"Major retail conference in Chicago, drawing industry professionals.",2025-07-15,2025-07-16,30000,Electronics,None
2025-07-15 12:00:00,EVENT029,Flash Sale Announcement,Region A,AF-PRO-2025,high,"Walmart announces flash sale on AF-PRO-2025 for Region A stores.",2025-07-15,2025-07-16,5000000,Kitchen Appliances,None
2025-07-15 13:00:00,EVENT030,Delivery Truck Breakdown,Region B,None,medium,"A delivery truck broke down on route to Store_B3.",2025-07-15,2025-07-15,None,All,Route 123
2025-07-15 14:00:00,EVENT031,Port Congestion,DC_East,None,high,"Increased congestion at nearest port, impacting import schedules.",2025-07-15,2025-07-18,None,All,Port of NY/NJ
2025-07-15 15:00:00,EVENT032,New Competitor Store,Region C,None,low,"New competitor store opens near Store_C4, potential impact on foot traffic.",2025-07-15,None,50000,General Merchandise,None
2025-07-15 16:00:00,EVENT033,Local Charity Event,Region A,None,low,"Charity run in LA park, minor traffic diversions.",2025-07-15,2025-07-15,10000,None,None
2025-07-16 08:00:00,EVENT034,Weather Alert,Region B,None,medium,"Heat advisory issued for NYC, affecting outdoor activities.",2025-07-16,2025-07-17,4000000,Beverages,None
2025-07-16 09:00:00,EVENT035,Product Recall,Region A,COFFEE-MAKER-PRO,high,"Recall for 'Coffee Maker Pro' due to manufacturing defect.",2025-07-16,2025-07-23,800000,Kitchen Appliances,None
2025-07-16 10:00:00,EVENT036,Road Construction,Region C,None,medium,"New phase of road construction near Store_C1, minor detours.",2025-07-16,2025-07-20,30000,All,Local Road X
2025-07-16 11:00:00,EVENT037,Local Sports Tournament,Region A,None,low,"Youth soccer tournament in LA, increasing local activity.",2025-07-16,2025-07-17,20000,Snacks,None
2025-07-16 12:00:00,EVENT038,Supply Chain Improvement,DC_West,None,none,"New logistics software implemented at DC_West, expected efficiency gains.",2025-07-16,None,None,None,None
2025-07-16 13:00:00,EVENT039,Public Holiday,Region C,None,high,"State-wide public holiday in Illinois, most businesses closed.",2025-07-16,2025-07-16,10000000,All,None
2025-07-16 14:00:00,EVENT040,Competitor Flash Sale,Region B,AF-PRO-2025,medium,"Competitor announces 24-hour flash sale on similar air fryer.",2025-07-16,2025-07-17,None,Kitchen Appliances,None
